#,ZONA,ORDEN,NUM. ESC.,DEPARTAMENTO,CURSO,DIVISION,TURNO,HORAS,MA,MATERIA,DESI/ORI,BI
47,0.5,204147,4-051,GODOY CRUZ,3,2,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,TRAS 01
48,0.7,240969,4-052,GODOY CRUZ,4,2,M,3,188,EDUCACIÓN Y TIC (TIC),R2383/15,PLAN 01
49,0,206064,4-057,SAN RAFAEL,3,3,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,COTA 15
50,0.7,20379,4-059,SAN CARLOS,0,0,M,0,20,M.E.P. (INFORMÁTICA),E0000/02,INGR 01
51,0.7,240753,4-059,SAN CARLOS,4,1,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,COTC 15
52,0.7,240896,4-059,SAN CARLOS,4,2,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R1484/89,COTC 15
53,0.7,242077,4-060,TUPUNGATO,4,2,T,3,285,CIENCIAS Y TIC (TIC),R1484/89,CORC 15
54,0.5,282039,4-061,MAIPU,3,3,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,CORC 15
55,0.5,282973,4-066,GUAYMALLEN,4,4,T,3,188,EDUCACIÓN Y TIC (TIC),R1484/89,CORC 15
56,0.5,203146,4-072,GODOY CRUZ,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,REAJ 01
57,0.5,200058,4-073,LAS HERAS,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R2208/18,RENU 16
58,0.3,242436,4-074,LAS HERAS,4,2,T,3,147,TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓ SC,R2388/17,RENU 11
59,0.7,62013,4-075,TUNUYAN,0,0,A,0,20,M.E.P. (INFORMÁTICA),R2208/18,RENU 01
60,0.7,284115,4-076,MAIPU,0,0,A,0,20,M.E.P. (INFORMÁTICA),R0494/08,CREA 10
61,0.5,200975,4-078,GUAYMALLEN,3,3,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,COTC 15
62,0.7,204708,4-079,TUPUNGATO,3,1,T,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,TRAS 01
63,0.7,182147,4-081,SANTA ROSA,0,0,A,0,20,M.E.P. (INFORMÁTICA),R1211/1,
64,0.7,244750,4-081,SANTA ROSA,4,1,T,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,COTC 15
65,0.7,244762,4-081,SANTA ROSA,4,3,T,3,368,CIENCIAS SOCIALES Y TIC (TIC),R1484/89,COTC 15
66,0,283820,4-082,LAS HERAS,4,1,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R0033/21,CREA 02
67,0,242863,4-082,LAS HERAS,4,3,M,3,278,CIENCIAS NATURALES Y TIC (TIC),R2208/18,RENU 01
68,0,204807,4-083,CAPITAL,3,4,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R4166/21,RENU 08
69,0,204842,4-083,CAPITAL,3,5,M,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,CORC 15
70,0,204895,4-083,CAPITAL,3,8,V,3,144,SISTEMAS DE INFORMACIÓN CONTABLE I(INFORMÁTICA SC,R1484/89,TRAS 01
71,0,242185,4-083,CAPITAL,4,1,M,3,188,EDUCACIÓN Y TIC (TIC),R2208/18,RENU 01
72,0,242260,4-083,CAPITAL,4,2,M,3,368,CIENCIAS SOCIALES Y TIC (TIC),R2208/18,RENU 01
